Job Title,Company,Location,Experience Level,Salary,Industry,Required Skills
"Clinical scientist, histocompatibility and immunogenetics","Simmons, Mcdonald and Smith",London,Mid Level,136000.0,Software,Python
Advertising account planner,"Franco, Graham and Montoya",London,Entry Level,78000.0,Retail,Merchandising
Actuary,Gallagher-Chavez,Sydney,Entry Level,58000.0,Healthcare,"Pharmaceuticals, Patient Care"
Chiropractor,Kramer-Odonnell,Sydney,Entry Level,95000.0,Retail,"Sales, Customer Service, Merchandising"
Petroleum engineer,Nash-Medina,Sydney,Entry Level,135000.0,Retail,Customer Service
Visual merchandiser,"Andersen, Richardson and Wilkerson",Berlin,Mid Level,83000.0,Marketing,"SEO, Market Research, Social Media, Content Writing"
Soil scientist,Hunter Ltd,Sydney,Mid Level,140000.0,Retail,"Sales, Merchandising, Customer Service"
Education administrator,Williams-Adkins,New York,Mid Level,135000.0,Finance,"Financial Modeling, Risk Analysis, SQL"
Community development worker,Davis Inc,Sydney,Senior Level,100000.0,Retail,"Merchandising, Customer Service"
"Merchandiser, retail",Nicholson-Williams,Bangalore,Entry Level,50000.0,Marketing,"Content Writing, Market Research, Social Media, SEO"
"Conservator, furniture",Jones-Patel,Berlin,Entry Level,147000.0,Retail,Merchandising
Equality and diversity officer,Obrien PLC,London,Mid Level,109000.0,Software,"Python, Java, AWS"
Professor Emeritus,Marquez Group,Bangalore,Mid Level,92000.0,Healthcare,Patient Care
Chemical engineer,"Cross, Tyler and Jones",Berlin,Mid Level,51000.0,Education,Research
Transport planner,"Young, Kirby and Benitez",Sydney,Mid Level,83000.0,Finance,Risk Analysis
Health physicist,"Harper, Anderson and Griffin",Sydney,Mid Level,73000.0,Marketing,"Content Writing, Social Media"
Sports administrator,"Santiago, Thompson and Wilson",Toronto,Entry Level,133000.0,Education,"Teaching, Curriculum Design, EdTech"
Furniture conservator/restorer,Perez LLC,Berlin,Senior Level,112000.0,Manufacturing,Supply Chain
Accounting technician,"Smith, Anderson and Nelson",Bangalore,Mid Level,112000.0,Software,"SQL, Java, Machine Learning, C++"
Information systems manager,Glenn-Wilkinson,Toronto,Senior Level,107000.0,Education,"Curriculum Design, EdTech"
Transport planner,Mejia-Greer,London,Entry Level,112000.0,Software,C++
Diagnostic radiographer,"Smith, Mcintosh and Jones",Sydney,Senior Level,56000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Town planner,Willis-Watson,New York,Entry Level,80000.0,Finance,SQL
"Administrator, arts",Becker-Orozco,Berlin,Mid Level,106000.0,Healthcare,Patient Care
Graphic designer,Blake Group,Sydney,Senior Level,122000.0,Finance,"Python, Financial Modeling, Excel, SQL"
Paediatric nurse,Perez-Lang,Toronto,Mid Level,51000.0,Retail,"Merchandising, Sales"
Pension scheme manager,Montoya LLC,Toronto,Entry Level,70000.0,Marketing,"Google Ads, Market Research, Content Writing, SEO"
Multimedia specialist,"Kirby, Morris and Campbell",Berlin,Mid Level,126000.0,Retail,Customer Service
Immunologist,Farrell-James,London,Senior Level,99000.0,Education,"Curriculum Design, EdTech, Teaching, Research"
Dietitian,Martinez-Tanner,Sydney,Entry Level,57000.0,Retail,"Customer Service, Sales"
"Engineer, chemical","Harris, Sims and Weber",Sydney,Mid Level,122000.0,Manufacturing,"Supply Chain, Production Planning"
Theatre stage manager,"Davis, Harrington and Stephens",San Francisco,Senior Level,74000.0,Retail,"Sales, Merchandising"
"Education officer, environmental","Turner, Bishop and Martinez",New York,Senior Level,91000.0,Software,"Java, SQL, Machine Learning, AWS"
Commissioning editor,Spencer-Brown,San Francisco,Senior Level,132000.0,Retail,"Merchandising, Customer Service, Sales"
Rural practice surveyor,"Weber, Martinez and May",New York,Entry Level,74000.0,Software,"Python, C++, SQL, Java"
"Journalist, magazine",Burke Group,New York,Senior Level,121000.0,Healthcare,"Pharmaceuticals, Medical Research"
Print production planner,Obrien and Sons,San Francisco,Mid Level,43000.0,Retail,Merchandising
Chief Strategy Officer,Spencer-Carney,Sydney,Mid Level,146000.0,Software,C++
"Horticulturist, amenity","Walker, Lloyd and Strickland",London,Entry Level,53000.0,Healthcare,"Pharmaceuticals, Nursing, Medical Research"
"Nurse, learning disability",Guzman-Jones,New York,Mid Level,100000.0,Retail,"Sales, Customer Service, Merchandising"
Games developer,Wilson Inc,London,Entry Level,137000.0,Software,"SQL, AWS, C++"
"Teacher, adult education","Foster, Butler and Wheeler",Sydney,Senior Level,109000.0,Healthcare,Medical Research
Dietitian,Jackson-Burns,Berlin,Entry Level,95000.0,Retail,"Merchandising, Customer Service, Sales"
"Scientist, research (life sciences)",Kim LLC,Berlin,Senior Level,107000.0,Software,SQL
Media planner,"Lee, Blair and Anderson",San Francisco,Entry Level,90000.0,Healthcare,Patient Care
Company secretary,Powers PLC,Bangalore,Senior Level,137000.0,Software,"Python, React, SQL, Machine Learning"
Paramedic,"Nash, Johnson and Mitchell",Sydney,Senior Level,106000.0,Software,SQL
Video editor,"Sutton, Zavala and Johnson",Toronto,Entry Level,76000.0,Education,"Research, EdTech, Curriculum Design"
Technical author,Schultz Ltd,London,Entry Level,142000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
"Designer, industrial/product",Moss PLC,Toronto,Entry Level,84000.0,Finance,SQL
Legal executive,Haney-Stewart,New York,Senior Level,58000.0,Software,"C++, Machine Learning, React, Python"
Product manager,Torres-Clark,Sydney,Entry Level,53000.0,Education,"Teaching, Curriculum Design, EdTech"
Administrator,Castro LLC,Bangalore,Entry Level,94000.0,Education,"Teaching, Research, EdTech, Curriculum Design"
Ambulance person,"Davis, Weiss and Allison",Toronto,Entry Level,137000.0,Education,Teaching
Agricultural engineer,"Thompson, Stephens and Hansen",London,Senior Level,87000.0,Education,"Research, EdTech, Curriculum Design"
Airline pilot,Wilson-Palmer,Toronto,Entry Level,56000.0,Education,"Curriculum Design, Research, EdTech"
Chartered management accountant,Kelly PLC,San Francisco,Senior Level,58000.0,Manufacturing,Quality Control
Health promotion specialist,Ferguson Group,Berlin,Entry Level,53000.0,Retail,Merchandising
Trading standards officer,Cowan Ltd,San Francisco,Senior Level,57000.0,Retail,"Customer Service, Sales, Merchandising"
Airline pilot,Mcconnell LLC,Toronto,Entry Level,76000.0,Education,"EdTech, Teaching"
Copy,"Lamb, Taylor and Gonzalez",Sydney,Senior Level,132000.0,Retail,"Sales, Customer Service"
Careers adviser,Chapman-Nichols,London,Mid Level,149000.0,Education,"EdTech, Teaching, Research, Curriculum Design"
Investment analyst,"Mcdonald, Fox and Fitzgerald",London,Mid Level,93000.0,Education,"Curriculum Design, Teaching, EdTech, Research"
"Lecturer, higher education",Bell Inc,London,Entry Level,52000.0,Healthcare,"Medical Research, Pharmaceuticals, Patient Care, Nursing"
Private music teacher,Rogers-Vargas,Sydney,Entry Level,112000.0,Software,"C++, AWS, Machine Learning, Java"
"Therapist, horticultural",Alvarez LLC,Berlin,Senior Level,116000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
"Development worker, community","Smith, Weiss and Hoffman",Berlin,Senior Level,68000.0,Education,Curriculum Design
"Engineer, biomedical","Valdez, Stanley and Mitchell",Toronto,Entry Level,120000.0,Healthcare,"Pharmaceuticals, Nursing"
Technical author,Tucker-Jones,New York,Senior Level,131000.0,Retail,"Customer Service, Merchandising, Sales"
Bookseller,"Wells, Pollard and Hampton",New York,Senior Level,145000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Community development worker,Dudley and Sons,New York,Entry Level,104000.0,Finance,"Excel, Risk Analysis"
Writer,Cook Inc,Sydney,Entry Level,117000.0,Finance,Risk Analysis
Television floor manager,Moore LLC,Bangalore,Senior Level,57000.0,Finance,"Financial Modeling, Risk Analysis"
Commercial horticulturist,Simmons-Jenkins,Toronto,Entry Level,77000.0,Healthcare,"Medical Research, Pharmaceuticals"
Claims inspector/assessor,Holmes-Jones,London,Senior Level,103000.0,Marketing,"Social Media, Google Ads, Content Writing"
Chief Marketing Officer,Thomas-Brown,Berlin,Senior Level,133000.0,Healthcare,"Patient Care, Medical Research, Nursing"
Technical brewer,Franklin LLC,Toronto,Entry Level,89000.0,Manufacturing,"Supply Chain, Production Planning"
Speech and language therapist,Robinson-Graves,Sydney,Entry Level,124000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Jewellery designer,Meyers-Smith,Toronto,Senior Level,62000.0,Manufacturing,Supply Chain
Advertising account executive,Li-Wallace,Bangalore,Mid Level,75000.0,Marketing,"Social Media, Market Research, SEO, Content Writing"
Futures trader,Espinoza and Sons,New York,Senior Level,137000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Recycling officer,Murphy Inc,San Francisco,Senior Level,92000.0,Healthcare,"Medical Research, Nursing"
Historic buildings inspector/conservation officer,"Ross, Peters and Smith",New York,Entry Level,46000.0,Healthcare,Medical Research
Human resources officer,Sloan-Thomas,London,Mid Level,85000.0,Education,"Teaching, EdTech, Research"
"Psychotherapist, child","Harper, Pena and Larsen",New York,Entry Level,74000.0,Education,"Research, EdTech, Teaching, Curriculum Design"
Colour technologist,Johnson-Perry,London,Mid Level,64000.0,Manufacturing,Quality Control
Animal technologist,Cooper Ltd,Sydney,Mid Level,43000.0,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Financial planner,"Smith, Baxter and Medina",New York,Entry Level,90000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
"Production assistant, television",Miller Group,New York,Mid Level,94000.0,Finance,"SQL, Python, Financial Modeling, Excel"
"Administrator, charities/voluntary organisations","Baker, Arnold and Nelson",Sydney,Senior Level,118000.0,Marketing,Google Ads
Trade union research officer,Anderson Inc,Berlin,Mid Level,91000.0,Software,"React, AWS"
"Teacher, secondary school",Wyatt-Cruz,Bangalore,Senior Level,48000.0,Marketing,"Social Media, Market Research, SEO"
Microbiologist,"Diaz, Barber and Taylor",London,Mid Level,47000.0,Healthcare,"Pharmaceuticals, Nursing, Medical Research, Patient Care"
Insurance broker,"Armstrong, Thompson and Kelly",New York,Mid Level,91000.0,Healthcare,"Patient Care, Medical Research"
Building surveyor,Perez-Gray,London,Mid Level,116000.0,Education,"Research, Curriculum Design, EdTech, Teaching"
Newspaper journalist,"Becker, Tucker and Boyle",Berlin,Senior Level,125000.0,Healthcare,"Medical Research, Pharmaceuticals, Patient Care, Nursing"
Industrial buyer,"Harrington, Dixon and Johnson",San Francisco,Mid Level,87000.0,Finance,"Financial Modeling, SQL, Python"
Arts administrator,Brooks-Hudson,Sydney,Entry Level,57000.0,Finance,"Financial Modeling, Python"
Health visitor,"Barton, Brown and Walsh",Sydney,Mid Level,55000.0,Finance,"Financial Modeling, SQL"
"Designer, fashion/clothing",Rangel PLC,London,Senior Level,101000.0,Education,Teaching
Government social research officer,Guzman Group,Toronto,Senior Level,46000.0,Software,SQL
Sub,Harper-Mcbride,Berlin,Senior Level,77000.0,Marketing,"Market Research, Social Media, Content Writing, Google Ads"
Broadcast engineer,"Carson, Kirk and Sweeney",Bangalore,Entry Level,119000.0,Retail,"Customer Service, Sales, Merchandising"
Facilities manager,Smith-Gonzalez,Toronto,Senior Level,93000.0,Healthcare,"Medical Research, Nursing, Patient Care, Pharmaceuticals"
Tax adviser,Barnes-Brown,Sydney,Senior Level,141000.0,Software,"Java, SQL, React"
Microbiologist,"Swanson, Bowman and Garrison",Sydney,Mid Level,66000.0,Education,"EdTech, Teaching, Curriculum Design, Research"
Quarry manager,"Matthews, Rivers and Brown",San Francisco,Mid Level,85000.0,Retail,Sales
Building control surveyor,Wallace-Moreno,San Francisco,Entry Level,103000.0,Software,"Machine Learning, React, C++"
Sales executive,"Watkins, Tran and Ellis",Berlin,Entry Level,143000.0,Education,"Curriculum Design, Research"
"Therapist, sports",Hodges-Flores,Bangalore,Mid Level,145000.0,Manufacturing,"Supply Chain, Quality Control"
Legal secretary,"Welch, Everett and Jones",San Francisco,Mid Level,146000.0,Finance,"Python, SQL, Excel"
Outdoor activities/education manager,Diaz Inc,Bangalore,Mid Level,89000.0,Software,"Machine Learning, Python"
Chief Operating Officer,Carrillo-Kim,San Francisco,Mid Level,145000.0,Retail,"Sales, Merchandising, Customer Service"
Careers information officer,Smith Ltd,Toronto,Mid Level,121000.0,Marketing,"Content Writing, Social Media"
Product/process development scientist,Mills LLC,Toronto,Entry Level,95000.0,Marketing,Social Media
Call centre manager,Miller-Franklin,Toronto,Senior Level,113000.0,Marketing,"SEO, Content Writing, Google Ads"
Regulatory affairs officer,Wilkinson-Alvarado,Bangalore,Mid Level,98000.0,Retail,"Customer Service, Merchandising, Sales"
Systems developer,Neal-Lopez,New York,Mid Level,60000.0,Education,EdTech
Adult nurse,"Garcia, Montgomery and Young",New York,Mid Level,99000.0,Education,"Teaching, Research, Curriculum Design, EdTech"
"Nurse, mental health","Clark, Knight and Hanson",Toronto,Entry Level,46000.0,Healthcare,Patient Care
Environmental manager,"Stephens, Barrett and Ferguson",Sydney,Senior Level,104000.0,Marketing,"Content Writing, Market Research, Google Ads"
Trading standards officer,Ewing PLC,Berlin,Mid Level,63000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
"Scientist, marine",Snow-Taylor,London,Entry Level,136000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Communications engineer,Cooper LLC,New York,Senior Level,88000.0,Retail,Customer Service
International aid/development worker,Brown Inc,Sydney,Mid Level,67000.0,Software,"Python, React, SQL, Machine Learning"
"Scientist, marine",George and Sons,San Francisco,Entry Level,143000.0,Retail,"Sales, Merchandising, Customer Service"
"Social research officer, government",Marks-Jordan,Sydney,Mid Level,116000.0,Manufacturing,Supply Chain
Chief Financial Officer,Mcdonald-Griffin,Sydney,Mid Level,91000.0,Retail,"Customer Service, Sales, Merchandising"
Exhibition designer,"Simmons, Dudley and Johnson",Bangalore,Mid Level,121000.0,Marketing,"Social Media, Content Writing, Market Research, SEO"
Professor Emeritus,Wiley-Frank,New York,Entry Level,102000.0,Marketing,SEO
Dancer,"Ward, Rivera and Butler",Toronto,Mid Level,129000.0,Healthcare,"Nursing, Medical Research, Patient Care"
"Teacher, primary school",Vazquez LLC,San Francisco,Mid Level,148000.0,Manufacturing,"Supply Chain, Production Planning, Quality Control"
"Editor, commissioning",Kline Ltd,Toronto,Senior Level,58000.0,Marketing,Market Research
"Engineer, materials",King Group,Toronto,Senior Level,124000.0,Healthcare,"Patient Care, Pharmaceuticals"
Music therapist,Montgomery-Phelps,New York,Mid Level,50000.0,Retail,"Sales, Merchandising, Customer Service"
"Programmer, systems","Martinez, Kelly and Goodman",Sydney,Mid Level,67000.0,Marketing,"Market Research, Google Ads, SEO, Social Media"
"Accountant, chartered management","Barrera, Cooper and Guzman",Sydney,Mid Level,94000.0,Healthcare,"Pharmaceuticals, Nursing"
Medical physicist,"Hutchinson, Rivera and Alvarado",Sydney,Senior Level,100000.0,Marketing,"Google Ads, SEO, Social Media"
Immunologist,Goodman-Cross,Toronto,Senior Level,102000.0,Retail,"Sales, Customer Service, Merchandising"
Armed forces logistics/support/administrative officer,"Bernard, Roberts and Brooks",New York,Mid Level,101000.0,Software,Java
Ship broker,"Jackson, Vazquez and Mitchell",Sydney,Mid Level,48000.0,Healthcare,"Pharmaceuticals, Nursing, Patient Care, Medical Research"
"Engineer, manufacturing systems",Cummings LLC,Berlin,Entry Level,130000.0,Healthcare,Nursing
"Engineer, biomedical",Morgan Ltd,Berlin,Entry Level,68000.0,Manufacturing,Production Planning
Lawyer,Myers LLC,Berlin,Entry Level,122000.0,Education,"Research, Teaching"
Child psychotherapist,Hopkins-Blanchard,Berlin,Mid Level,51000.0,Finance,"Risk Analysis, SQL"
Applications developer,Hart-Shelton,Toronto,Senior Level,84000.0,Software,"C++, Machine Learning, Python, Java"
"Designer, television/film set",Jacobs Ltd,Bangalore,Mid Level,48000.0,Marketing,"Google Ads, SEO"
Commissioning editor,Nunez-Berry,New York,Mid Level,87000.0,Retail,"Merchandising, Sales, Customer Service"
"Doctor, hospital",Black Group,New York,Senior Level,142000.0,Education,"EdTech, Teaching, Research, Curriculum Design"
"Engineer, electrical",Griffin Inc,Berlin,Mid Level,105000.0,Education,"EdTech, Curriculum Design"
"Radiographer, diagnostic",Carson and Sons,Toronto,Mid Level,61000.0,Retail,"Merchandising, Customer Service, Sales"
"Administrator, sports",Cabrera Ltd,Bangalore,Entry Level,89000.0,Healthcare,Medical Research
Production engineer,Gibson-Collins,London,Mid Level,78000.0,Software,"Python, C++"
"Surveyor, minerals",Moreno PLC,Sydney,Mid Level,46000.0,Education,"EdTech, Curriculum Design"
"Producer, television/film/video",Lynn-Wright,Berlin,Senior Level,48000.0,Marketing,"Google Ads, Social Media"
"Loss adjuster, chartered",Williams-Miller,Sydney,Senior Level,55000.0,Finance,"SQL, Python, Risk Analysis"
Personnel officer,Lee and Sons,Berlin,Entry Level,90000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
IT sales professional,Hale-Murray,Sydney,Senior Level,135000.0,Finance,Python
Financial planner,"Cross, Tate and Morgan",San Francisco,Mid Level,61000.0,Manufacturing,"Production Planning, Quality Control"
Pension scheme manager,"Washington, Gomez and Jones",New York,Mid Level,130000.0,Education,"Curriculum Design, EdTech"
"Scientist, water quality",Nguyen-Rodriguez,Berlin,Mid Level,49000.0,Healthcare,Nursing
Hospital doctor,Brown PLC,New York,Mid Level,133000.0,Education,"Teaching, EdTech"
"Research officer, government",Kane-Jacobs,Sydney,Senior Level,141000.0,Finance,Excel
Financial manager,Lewis Inc,San Francisco,Entry Level,69000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Arts development officer,"Lewis, Nicholson and Mercado",Sydney,Mid Level,111000.0,Retail,"Sales, Merchandising, Customer Service"
Community arts worker,"Cook, Ewing and Washington",Sydney,Mid Level,80000.0,Healthcare,"Nursing, Patient Care, Pharmaceuticals"
Manufacturing systems engineer,"Pineda, Ford and Black",New York,Senior Level,72000.0,Education,"EdTech, Teaching, Curriculum Design, Research"
Freight forwarder,Jackson Group,London,Senior Level,107000.0,Software,AWS
Architectural technologist,Kim-Owen,San Francisco,Entry Level,99000.0,Finance,Python
Interior and spatial designer,"Williams, Martinez and Hall",Sydney,Senior Level,46000.0,Software,React
IT trainer,Fields LLC,London,Mid Level,46000.0,Marketing,"Google Ads, SEO, Content Writing"
"Production assistant, radio","Stark, Martin and Clark",Sydney,Entry Level,141000.0,Education,Research
Retail buyer,Davidson Group,San Francisco,Entry Level,93000.0,Education,"Research, Curriculum Design, Teaching, EdTech"
"Programme researcher, broadcasting/film/video",Mcgee Group,New York,Mid Level,54000.0,Manufacturing,Supply Chain
Sports therapist,"Patel, King and Ramirez",Toronto,Senior Level,105000.0,Marketing,"Market Research, Content Writing, SEO"
Warden/ranger,Gray LLC,San Francisco,Mid Level,73000.0,Software,"Python, SQL, React, Java"
Merchant navy officer,Smith-Lara,Bangalore,Mid Level,86000.0,Healthcare,"Medical Research, Pharmaceuticals, Nursing"
"Designer, ceramics/pottery","Russell, Riley and Brooks",New York,Mid Level,144000.0,Healthcare,"Nursing, Pharmaceuticals"
Systems developer,Poole LLC,Berlin,Senior Level,134000.0,Retail,Customer Service
"Solicitor, Scotland",Collins Inc,London,Mid Level,85000.0,Healthcare,"Pharmaceuticals, Patient Care"
Data scientist,Navarro-Thompson,Sydney,Senior Level,137000.0,Software,"Python, SQL, React, Machine Learning"
"Scientist, research (life sciences)","Cunningham, Griffin and Todd",Bangalore,Mid Level,113000.0,Software,C++
"Journalist, broadcasting","Espinoza, Becker and Nelson",New York,Entry Level,143000.0,Retail,Sales
Operational investment banker,Skinner-Thompson,Berlin,Entry Level,105000.0,Software,"C++, Java, React, SQL"
"Loss adjuster, chartered",Lynch-Jordan,Bangalore,Entry Level,68000.0,Software,"Java, React"
Water engineer,Smith-Sharp,Sydney,Mid Level,74000.0,Marketing,"Google Ads, Content Writing, Social Media, Market Research"
Herpetologist,Mendoza-Jordan,Toronto,Mid Level,42000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Dramatherapist,Cooke Inc,Toronto,Senior Level,138000.0,Marketing,"Content Writing, Google Ads, Market Research"
"Lecturer, further education",Garcia LLC,Toronto,Entry Level,42000.0,Finance,Excel
Legal executive,Orozco and Sons,Bangalore,Mid Level,98000.0,Education,"EdTech, Teaching, Research"
"Editor, commissioning",Ramirez-Petty,London,Senior Level,74000.0,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care"
Operational investment banker,"Gibson, Mcmillan and White",Toronto,Mid Level,112000.0,Software,"React, Java, SQL, AWS"
Health promotion specialist,Hutchinson Inc,Toronto,Entry Level,69000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Licensed conveyancer,Harris-Cameron,Toronto,Entry Level,113000.0,Education,"Teaching, EdTech, Curriculum Design, Research"
Media planner,Henderson and Sons,Bangalore,Senior Level,73000.0,Healthcare,"Medical Research, Patient Care, Pharmaceuticals, Nursing"
Electronics engineer,"Sims, Farmer and Francis",New York,Mid Level,109000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
"Scientist, research (physical sciences)",Herman-Walsh,Sydney,Entry Level,134000.0,Healthcare,"Nursing, Pharmaceuticals, Medical Research, Patient Care"
Naval architect,"Brown, Alvarez and Thomas",Bangalore,Senior Level,89000.0,Finance,"Python, Financial Modeling, Risk Analysis, SQL"
Sports therapist,"Sutton, Rocha and Roman",San Francisco,Senior Level,125000.0,Finance,"Financial Modeling, Risk Analysis"
Civil Service fast streamer,"Shaw, Harris and Alexander",New York,Mid Level,98000.0,Healthcare,"Medical Research, Nursing, Patient Care"
Telecommunications researcher,Willis Group,Bangalore,Entry Level,125000.0,Education,Research
"Pilot, airline",Meyers-Green,London,Senior Level,53000.0,Marketing,Market Research
Osteopath,Garcia-Santos,Sydney,Senior Level,114000.0,Finance,"Financial Modeling, Risk Analysis"
Television production assistant,"Taylor, Reed and Park",New York,Mid Level,103000.0,Healthcare,"Medical Research, Nursing, Pharmaceuticals, Patient Care"
Media buyer,"Clark, Carpenter and Morrow",Toronto,Mid Level,148000.0,Manufacturing,"Supply Chain, Quality Control"
Soil scientist,"Moss, Sanchez and Villarreal",London,Senior Level,46000.0,Manufacturing,Quality Control
"Accountant, chartered public finance",Lewis Group,Sydney,Mid Level,106000.0,Healthcare,"Pharmaceuticals, Patient Care, Medical Research"
Gaffer,Henderson Ltd,Berlin,Entry Level,129000.0,Finance,Risk Analysis
Rural practice surveyor,Johnson PLC,London,Entry Level,144000.0,Healthcare,"Medical Research, Nursing, Pharmaceuticals"
Jewellery designer,Dunlap-Black,New York,Mid Level,146000.0,Software,"AWS, C++, SQL"
"Civil engineer, consulting",Henderson-Schultz,Berlin,Mid Level,126000.0,Education,Teaching
Community pharmacist,"Cox, Gibson and Buckley",New York,Senior Level,43000.0,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Metallurgist,Middleton LLC,Toronto,Mid Level,112000.0,Education,"Curriculum Design, EdTech"
Building surveyor,Maxwell Ltd,Berlin,Entry Level,116000.0,Finance,Python
Lexicographer,Baldwin LLC,Sydney,Senior Level,82000.0,Education,Teaching
"Teacher, English as a foreign language",Wall-Moore,Berlin,Senior Level,120000.0,Software,"React, SQL, C++, Java"
"Conservator, furniture",Perez-Watson,Bangalore,Senior Level,89000.0,Finance,"Python, Financial Modeling"
"Therapist, music",West-Guzman,Bangalore,Entry Level,145000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Forensic scientist,"Daugherty, Fowler and Jones",New York,Entry Level,127000.0,Finance,SQL
"Designer, furniture",Gomez and Sons,San Francisco,Senior Level,131000.0,Education,"Research, EdTech, Curriculum Design, Teaching"
"Engineer, land","Miller, Oconnor and David",Berlin,Entry Level,138000.0,Finance,"Risk Analysis, Python, Excel"
"Surveyor, hydrographic",Fuentes Ltd,Bangalore,Entry Level,46000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
"Secretary, company","Lamb, Anderson and Park",New York,Senior Level,51000.0,Education,"Research, Curriculum Design"
Information officer,Dixon Ltd,Berlin,Mid Level,100000.0,Finance,"Financial Modeling, SQL, Python, Risk Analysis"
Geophysicist/field seismologist,Horne-Lang,Sydney,Mid Level,146000.0,Finance,"Risk Analysis, Excel"
Tourism officer,"Love, Sanchez and Fry",Bangalore,Senior Level,112000.0,Software,"Machine Learning, AWS"
"Development worker, community","Webb, Hickman and Forbes",Sydney,Entry Level,40000.0,Software,"SQL, Python, C++, AWS"
Museum/gallery exhibitions officer,"Bray, Garcia and Christensen",Toronto,Entry Level,81000.0,Marketing,"Market Research, Google Ads, Content Writing, Social Media"
Financial controller,"Willis, Walter and Morales",Bangalore,Mid Level,126000.0,Manufacturing,Production Planning
Estate manager/land agent,Hunter-Lucero,Sydney,Senior Level,86000.0,Marketing,Market Research
Dramatherapist,Lynch-Kim,New York,Mid Level,101000.0,Finance,"Excel, Risk Analysis, Python, SQL"
Textile designer,Miller-Lowe,London,Entry Level,125000.0,Marketing,SEO
Professor Emeritus,Webster-Wilson,London,Mid Level,67000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Careers adviser,Sanders and Sons,London,Mid Level,93000.0,Software,AWS
Chartered legal executive (England and Wales),Norman PLC,Sydney,Senior Level,65000.0,Software,C++
Furniture conservator/restorer,Williams PLC,Sydney,Senior Level,77000.0,Retail,"Sales, Customer Service, Merchandising"
Multimedia specialist,Dean-Harper,Sydney,Mid Level,85000.0,Education,Curriculum Design
"Loss adjuster, chartered",Logan Ltd,New York,Entry Level,138000.0,Marketing,Market Research
"Administrator, local government",Young-Hall,Toronto,Mid Level,52000.0,Software,"Java, AWS, Python"
Commercial horticulturist,"Arellano, Stone and Black",Sydney,Entry Level,83000.0,Retail,Sales
Drilling engineer,Thompson Group,Toronto,Entry Level,50000.0,Healthcare,"Pharmaceuticals, Patient Care, Nursing, Medical Research"
Medical laboratory scientific officer,"Hill, Benson and Price",New York,Mid Level,115000.0,Finance,"Excel, Financial Modeling"
"Therapist, drama","Bailey, Scott and Swanson",New York,Mid Level,71000.0,Education,"Curriculum Design, EdTech, Research"
Chief Strategy Officer,"Mclaughlin, Stevens and Rodriguez",New York,Entry Level,133000.0,Marketing,"Content Writing, SEO, Google Ads, Market Research"
"Designer, interior/spatial",Chaney-Smith,London,Mid Level,84000.0,Retail,"Sales, Customer Service, Merchandising"
Public house manager,Robinson-Montoya,London,Entry Level,88000.0,Education,"Research, Curriculum Design, Teaching, EdTech"
Prison officer,Guzman-Aguirre,Bangalore,Senior Level,115000.0,Healthcare,Patient Care
Retail buyer,"Burgess, Jones and Simmons",London,Entry Level,98000.0,Retail,Sales
"Buyer, retail","Carlson, Ellis and Manning",Bangalore,Senior Level,68000.0,Finance,"Python, SQL, Financial Modeling"
International aid/development worker,"Ramsey, Andrews and Banks",Sydney,Senior Level,68000.0,Retail,"Customer Service, Merchandising"
Counselling psychologist,"Jimenez, Smith and Sullivan",San Francisco,Senior Level,145000.0,Marketing,SEO
Surgeon,Malone Inc,London,Mid Level,89000.0,Manufacturing,"Production Planning, Quality Control"
Chiropractor,Ryan-Harrison,Berlin,Senior Level,99000.0,Marketing,"Social Media, Google Ads"
Retail manager,Patel PLC,Toronto,Senior Level,138000.0,Manufacturing,"Supply Chain, Quality Control"
Diplomatic Services operational officer,"Brown, Wallace and Collins",Toronto,Entry Level,141000.0,Software,"Machine Learning, Python"
Insurance underwriter,Mccann-Ortiz,Bangalore,Entry Level,47000.0,Retail,"Sales, Merchandising"
Archaeologist,"Smith, Cantrell and Howard",Toronto,Mid Level,113000.0,Healthcare,"Medical Research, Patient Care, Pharmaceuticals"
"Engineer, electrical","Contreras, Wise and Smith",Toronto,Entry Level,78000.0,Marketing,"Market Research, Google Ads, SEO"
